frame,distance
12,535.5054203744023
14,541.4239233647788
16,544.393568218624
18,545.8676179299463
22,552.5153534723318
36,554.4466769627
46,563.1962897070747
54,554.9124548192265
60,557.1877575872797
90,479.2973836314933
92,508.6376822267322
94,513.9295412137826
96,523.7319628488896
98,527.5439957275814
100,527.7634070198708
102,495.7301271379701
118,491.8653916682088
120,526.1006613984373
122,535.9836281206043
124,524.3464712580657
126,518.6506714219191
128,513.9542011425732
146,489.56552738002557
148,518.083420452774
150,531.5483704567042
152,538.462504593962
154,547.1619679022876
156,544.2575928819915
160,547.5786608055467
184,549.0150900676233
186,555.5504623502329
188,557.3192431409841
190,557.3406641681124
194,562.9580759351651
196,548.3824618474907
216,527.6680949946302
218,552.119871385052
220,553.6034704468884
222,557.9401256183196
224,559.6265345823888
226,562.5893196745947
228,563.8192452643085
250,525.623024217418
252,537.8781861098687
254,541.5497475737408
256,543.5965571756296
258,545.9310286042156
260,548.0522128734287
262,544.7874998181134
264,534.3617449665322
284,503.0271616479068
286,517.901492836228
288,524.7192417200666
290,531.8588571435904
292,529.2387620749197
294,527.5110416639677
296,519.7018801192484
316,480.50640383756985
318,486.5648696889877
320,500.1224876609748
322,506.35804623789
324,505.1075041109991
326,508.1705269779677
328,502.6329440871199
330,456.13562196670256
348,474.54464288517465
350,495.8722419185817
352,503.7519707711304
354,491.6426908942235
356,490.41472748386326
358,488.71993872194463
360,494.79742430494065
362,494.99030786755753
386,461.81034216687016
388,472.4926036517455
390,477.75393699662214
412,473.65410676505525
414,498.693006108881
416,498.2745583192167
418,503.92178894361194
420,506.4460811604817
422,516.1167140991356
424,495.5398706433471
444,470.92780662015497
446,486.281963013906
448,496.27344485348925
450,498.3516005411818
452,499.249417985127
454,503.4836028932671
456,494.5921206353504
478,461.2556426416464
480,481.1841309673694
482,485.60807447581004
484,494.1296250828002
486,494.9063307634224
488,499.4639923000092
490,475.5189400702715
510,456.71903495621956
512,485.32429568368156
514,493.043063595916
516,498.27136868285214
518,499.9400822114675
520,486.4416689584896
540,465.9665115147878
542,482.62929663824576
544,491.5148562543061
546,493.3594334229733
548,502.87016790547267
550,498.0324368778682
552,482.7124375846027
572,477.7347493936371
574,488.9005252544165
576,505.22046728227514
578,513.6517648498507
580,514.3921622938253
582,508.0974739603682
584,491.0983218712349
